coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
DPSIRRESISTANCE:x0008,-0.27387504124691053,0.24743345509843248,0.2590310423934951,1.0573058685023005,0.290372,5,aS.noDr
DPSIRDRI:x0008,-2.842331414339289,0.8100435413638551,0.8480115302925622,3.3517603391061095,8.03e-4,5,aS.noDr
General,-0.14220485060106428,0.13723396015714506,0.14299708520605794,0.9944597849400072,0.3199991,5,aS.noDr
AwarenessandEducation,0.13097776398879776,0.13328837539331584,0.13888580604443537,0.9430608333503318,0.3456498,5,aS.noDr
(Intercept),0,0,0,NA,NA,6,aE.noDr
DPSIRUSE,0.6479527155522494,0.2751850130947092,0.28783312556180674,2.251140185090037,0.0243767,6,aE.noDr
DPSIRRESISTANCE,0.327237586356187,0.2793544474120892,0.28820436322663623,1.1354359201663302,0.2561927,6,aE.noDr
DPSIRDRI,0.14326300796789024,0.8114622402516498,0.8179008805579497,0.17515937612166416,0.8609544,6,aE.noDr
x0008,0.15786971227535884,0.44019779235925366,0.4489450109221458,0.3516459887839938,0.7251038,6,aE.noDr
MonitoringandSurveillance,0.03870092710570082,0.1853649448086725,0.19515584072587958,0.19830780857879135,0.8428042,6,aE.noDr
DPSIRUSE:x0008,0.846873598321268,0.563309084338408,0.601551596298178,1.4078153952757335,0.1591857,6,aE.noDr
DPSIRRESISTANCE:x0008,-0.42415222878642433,0.2883631044572172,0.3079397982787154,1.377386850148305,0.1683927,6,aE.noDr
DPSIRDRI:x0008,-3.4885372713910363,1.0388776968242894,1.1094061044962555,3.1445088117439783,0.0016637,6,aE.noDr
RESPONSE,-0.02292280427304191,0.18095024746497063,0.19056536484391012,0.12028840755935745,0.9042547,6,aE.noDr
AwarenessandEducation,0.11323908231563506,0.177953565439454,0.18757020220957124,0.6037157340648043,0.5460327,6,aE.noDr
General,-0.06645915695550893,0.17988047322829373,0.18937792927777705,0.3509340143751784,0.7256379,6,aE.noDr
GDPcap_mean,-0.0766178379020115,0.18200134766543727,0.19179626372422245,0.3994751326969423,0.6895431,6,aE.noDr
prod.per.area,-0.0018987159184910949,0.1770005285373101,0.18652810328995528,0.010179248515380913,0.9918783,6,aE.noDr
(Intercept),0,0,0,NA,NA,7,aP
DPSIRUSE,0.7134046732436705,0.5787238268249958,0.5832805939559742,1.2230900198567518,0.2212957,7,aP
DPSIRRESISTANCE,0.6590308315493141,0.4359382323326205,0.4431304973847547,1.487216148377846,0.1369577,7,aP
DPSIRDRI,-0.24324519253727142,0.07814149160619394,0.0799626983404771,3.041983294529979,0.0023502,7,aP
x0008,0.480499109842798,0.24889587584776965,0.25167228193637325,1.9092253868635234,0.056233,7,aP
DPSIRUSE:x0008,0.7358770001356866,0.33633139159771896,0.34467035445942523,2.135016808422131,0.0327596,7,aP
DPSIRRESISTANCE:x0008,-0.624676866317538,0.489293624619058,0.5014251159579581,1.2458029054330695,0.2128368,7,aP
workTotal,-0.1735618905160616,0.08283237748697123,0.08484489409561388,2.0456374230424554,0.0407921,7,aP
RESPONSE,-0.08874402852874169,0.08030525727761645,0.08225637432792623,1.078871142252776,0.2806452,7,aP
General,-0.09496124111728607,0.07874562248696353,0.08065884625188378,1.1773196063422275,0.239068,7,aP
sanTotal,0.02010630008051494,0.08446043879420707,0.0865125111963704,0.23240916027598202,0.8162202,7,aP
(Intercept),0,0,0,NA,NA,8,aS
DPSIRUSE,0.7500995010443675,0.6658835637629451,0.677918119731815,1.1064750730384776,0.2685209,8,aS
DPSIRRESISTANCE,0.8384873913356299,0.5012395364582134,0.5227984389266173,1.6038444817416992,0.1087483,8,aS
DPSIRDRI,-0.3137223425787685,0.1082501658227006,0.11492878439863553,2.729710787600509,0.006339,8,aS
x0008,0.5758638677141344,0.2726235417350229,0.28141715427393865,2.0462998042883123,0.0407269,8,aS
DPSIRUSE:x0008,0.9766855095388963,0.42104397699025564,0.44962824763902415,2.172206738939166,0.0298401,8,aS
DPSIRRESISTANCE:x0008,-0.8381923752627514,0.6100430055456744,0.651458238468741,1.2866402261377965,0.1982197,8,aS
DPSIRDRI:x0008,NA,NA,NA,NA,NA,8,aS
workTotal,-0.1796027287697902,0.11267453994688552,0.11991800544327683,1.4977127755409942,0.1342079,8,aS
General,-0.16039440066016777,0.10408146069173131,0.110772506154974,1.447962190507555,0.1476276,8,aS
RESPONSE,-0.14656523910589425,0.11029194574315819,0.1173822423079103,1.2486150905299014,0.2118059,8,aS
GDPcap_mean,-0.13840927426038785,0.1216782690740441,0.12950055389645324,1.0687929132029652,0.285163,8,aS
prod.per.area,0.1106199000626068,0.10755768831399148,0.11447220870645344,0.9663472148622091,0.3338705,8,aS
