coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
workTotal,0.26906310539630945,0.4586320730027403,0.46645774730022227,0.5768220314778792,0.5640597,12,S
General,0.7522791824187697,0.9348928563177793,0.9441347164712297,0.7967922048565975,0.4255717,12,S
RESPONSE,-0.7320138492017795,0.9178165600161166,0.9255195585234772,0.7909220744827845,0.4289895,12,S
gini,-0.17374707500959924,0.5086632603469017,0.5162669412140783,0.3365450334685525,0.7364599,12,S
PopDensity,-0.4304417069144883,0.3485715592422771,0.35552799207682,1.2107111577911465,0.2260061,12,S
incomeHIC,-2.077603379681591,2162.3895867187016,2211.9436320322625,9.392659693469475e-4,0.9992506,12,S
prod.per.area,-0.24066310451465403,0.34808403574913593,0.3547892339873182,0.6783269655901014,0.4975644,12,S
sanTotal,-0.006652119092316649,0.39632723317541224,0.405073195539639,0.016422017466385767,0.9868977,12,S
incomeHIC:x0008,14.779271065681314,6405.360632650056,6552.148390006709,0.0022556374163049415,0.9982003,12,S
(Intercept),-37.27325315138625,22210632.853930518,24690661.343925443,1.5096093471208886e-6,0.9999988,13,E
AwarenessandEducation,-154.64349508523696,7559798.469964642,8403919.588930849,1.8401353493306186e-5,0.9999853,13,E
sanTotal,66.70482560301272,67154.41002590503,74212.86738356133,8.988309973020704e-4,0.9992828,13,E
incomeHIC,241.33143148091006,31955784.159165904,35523952.04221151,6.7934848913810824e-6,0.9999946,13,E
PopDensity,14.963277856764961,7390353.5792224165,8215557.694524413,1.821334401526732e-6,0.9999985,13,E
prod.per.area,20.292071632508936,7021649.902960818,7805684.70372676,2.5996529968499307e-6,0.9999979,13,E
gini,-166.12464457730044,16658082.556892758,18518117.821737424,8.970924916694053e-6,0.9999928,13,E
meantmpAreaPop,153.07385428738704,15468908.669830399,17196161.22350016,8.90162939843791e-6,0.9999929,13,E
RESPONSE,-81.6407852286505,6601436.665219527,7338550.61288093,1.1124919556370054e-5,0.9999911,13,E
General,-2.6409458456344455,6136.408696297508,6821.593285326757,3.87145016592402e-4,0.9996911,13,E
vacTotal,-2.7342735435431336,8.885568311739371,9.474160566175442,0.28860325138514237,0.772885,13,E
MonitoringandSurveillance,0.677559747571129,21.649800322212872,21.928774227640375,0.03089820436552678,0.9753507,13,E
x0008,11.235901462891167,23.33788507441605,24.027666059860753,0.4676235067900008,0.6400539,13,E
GDPcap_mean,-2.3986873060708365,8.875370702396834,9.559302542646197,0.2509270206032034,0.8018705,13,E
infTotal,66.69797180292798,75.71968346721701,78.61511198348961,0.8484115855096103,0.39620880000000003,13,E
workTotal,20.068629710682604,35.14624992291663,37.340574842701166,0.5374483332198982,0.590958,13,E
(Intercept),-12.636614173089649,3.090733319569671,3.115119602936523,4.056542214680142,4.98e-5,14,DPS
DPSIRUSE,22.188417882652885,4.144258601288791,4.178948954454175,5.309569014716759,1e-7,14,DPS
DPSIRRESISTANCE,8.859644002986522,3.8270922261992206,3.8484836597523873,2.3021129323325633,0.0213288,14,DPS
meantmpAreaPop,0.5484361542187162,2.7793397102090207,2.8045825004101745,0.19555001649568396,0.8449624,14,DPS
DPSIRUSE:meantmpAreaPop,0.021396377704071216,3.656942297794748,3.691039348836254,0.005796843566790278,0.9953748,14,DPS
DPSIRRESISTANCE:meantmpAreaPop,9.15669830276309,3.1164997503090413,3.1455577562615025,2.9109935382797842,0.0036028,14,DPS
General,-2.031595156908115,1.7526407110502928,1.7683357438194443,1.148874111722729,0.2506079,14,DPS
RESPONSE,-2.041980068694264,1.582168862573803,1.5921931190501264,1.2824952226350987,0.199669,14,DPS
AwarenessandEducation,-1.6227572138123891,1.5651097507934584,1.5787439537370431,1.0278786563021587,0.3040069,14,DPS
workTotal,1.651137319158631,2.0946193418196355,2.1064890525460003,0.78383380021035,0.4331376,14,DPS
DPSIRUSE:General,-0.4051051957314543,5.750950153082364,5.8045715736404775,0.06979071419691063,0.9443602,14,DPS
DPSIRRESISTANCE:General,-3.925434229692009,3.6908559327057704,3.7252691918923326,1.0537316976274669,0.2920058,14,DPS
MonitoringandSurveillance,-0.611323078971412,2.6937954516282145,2.7105337827129574,0.22553604860793963,0.8215623,14,DPS
